Exercise start,Exercise end,Code,Lecturer,Week,Concepts
2016-03-18 10:00:00 +0100,2016-02-19 11:40:00 +0100,10137,2,5,cvicenie
2016-03-25 10:00:00 +0100,2016-02-19 11:40:00 +0100,10138,2,6,cvicenie
2016-04-01 10:00:00 +0200,2016-02-19 11:40:00 +0100,10139,2,7,cvicenie
2016-04-08 10:00:00 +0200,2016-02-19 11:40:00 +0100,10140,2,8,cvicenie
2016-04-15 10:00:00 +0200,2016-02-19 11:40:00 +0100,10141,2,9,cvicenie
2016-04-22 10:00:00 +0200,2016-02-19 11:40:00 +0100,10142,2,10,cvicenie
2016-04-29 10:00:00 +0200,2016-02-19 11:40:00 +0100,10143,2,11,cvicenie
2016-05-06 10:00:00 +0200,2016-02-19 11:40:00 +0100,10144,2,12,cvicenie
2016-02-19 12:00:00 +0100,2016-02-19 13:40:00 +0100,10145,2,1,cvicenie
2016-02-26 12:00:00 +0100,2016-02-19 13:40:00 +0100,10146,2,2,cvicenie
2016-03-04 12:00:00 +0100,2016-02-19 13:40:00 +0100,10147,2,3,cvicenie
2016-03-11 12:00:00 +0100,2016-02-19 13:40:00 +0100,10148,2,4,cvicenie
2016-03-18 12:00:00 +0100,2016-02-19 13:40:00 +0100,10149,2,5,cvicenie
2016-03-25 12:00:00 +0100,2016-02-19 13:40:00 +0100,10150,2,6,cvicenie
2016-04-01 12:00:00 +0200,2016-02-19 13:40:00 +0100,10151,2,7,cvicenie
2016-04-08 12:00:00 +0200,2016-02-19 13:40:00 +0100,10152,2,8,cvicenie
2016-04-15 12:00:00 +0200,2016-02-19 13:40:00 +0100,10153,2,9,cvicenie
2016-04-22 12:00:00 +0200,2016-02-19 13:40:00 +0100,10154,2,10,cvicenie
2016-04-29 12:00:00 +0200,2016-02-19 13:40:00 +0100,10155,2,11,cvicenie
2016-05-06 12:00:00 +0200,2016-02-19 13:40:00 +0100,10156,2,12,cvicenie
